,번호,군별,상호,소재지,연락처
,46,,청보산업,경기도 안성시 양성면 명당길 22,070-4025-5293
,47,,우근건설(주),"대전광역시 대덕구 오정로37번길 29, 1층(오정동)",042-672-2800
,48,,대운건설(주),"경남 진주시 하대로 121, 3층 (하대동)",055-746-6675
,49,,(유)제이엠하이텍,전북 전주시 덕진구 신미산길 6 (전미동2가),063-254-6264
,50,,유환스틸(주),경기도 포천시 해룡로 83-57,031-544-5431
,51,,(주)보담,전남 화순군 화순읍 은국길 84-27,062-531-6006
,52,,(유)현대온실산업,"전북 익산시 고봉로 222, 2층 (영등동)",063-838-0553
,53,,(주)성창건설산업,"강원도 춘천시 동면 춘천순환로 498, 2층 205호",032-252-7842
,54,,㈜유성디자인,"경기도 안양시 동안구 엘에스로 142, 913호 (호계동, 호개금정역 SK V1 center)",031-423-0456
,55,,(유)미래온실산업,전북 김제시 하공로 31(하동),063-544-8873
,56,,㈜신안개발,전남 나주시 남평읍 세납로 1569,061-333-2630
,57,,㈜하나산업,경남 김해시 한림면 가산로 52-12,055-343-5800
,58,,㈜광진,경북 안동시 공단로 16(수상동),054-821-2244
,59,,㈜팜코,경남 의령군 유곡면 의합대로 1703-81,055-574-9291
,60,,㈜도현산업,경상남도 밀양시 추화산성길 34-5(교동),055-354-4540
,61,,㈜더원산업개발,경기도 의왕시 성고개로 53. 7층 A709호,031-5177-7040
,62,,㈜푸른,경남 하동군 하동읍 경서대로71. 상가101호,055-884-3457
,63,,㈜신세계건설,경상남도 밀양시 상남면 조음로 34-6,055-351-2122
,64,,㈜푸르지오산업,"경기도 화성시 팔탄면 서해로 987번길 7, 206호",031-353-9988
,65,,그린팜스글로벌㈜,경기도 포천시 영중면 전영로 1551 가동(영중면),031-533-7884
,66,,㈜보한,경상북도 안동시 제봉길 47-19 (노하동),054-853-4004
,67,2군,건영온실㈜,경상남도 창원시 의창구 진산대로 506번길 67,055-252-8857
,68,,㈜백두건설,"전북 전주시 덕진구 만성로 60, 501호(만성동,리드타워)",063-253-7829
,69,,㈜애농,제주특별자치도 제주시 애월읍 하가로 220,064-799-8830
,70,,㈜광진그린텍,전북 부안군 부안읍 오리정로 51,063-584-2083
,71,,㈜린건설,경북 안동시 풍산읍 풍산태사로 1075,054-859-6261
,72,,㈜한국건설산업,"충북 옥천군 옥천읍 마암로 119, 121",043-733-7203
,73,,㈜지성,경기도 여주시 흥천면 흥천로 75,031-884-8223
,74,,㈜이안코리아,전남 영광군 대마면 전기차2로 87,070-4667-4777
,75,,㈜영남하우스,울산광역시 울주군 언양읍 고등골길 6,052-254-5527
,76,,㈜혁신건설농공,경남 진주시 집현면 남강로 2029. 1층,055-745-9654
,77,,㈜코리아하이팜,경기도 광주시 곤지암읍 경충대로498번길 19,031-763-9803
,78,,㈜삼우공영,경남 김해시 호계로 555번길 2-9(동산동),055-323-2345
,79,,㈜영화건설,전북 장수군 장계면 장무로 418,063-352-7776
,80,,농업회사법인 한일그린텍㈜,충남 홍성군 홍성읍 충절로 885,041-633-4805
,81,,㈜리치팜건설,"경기도 고양시 일산동구 은행마을로 2, 201호",063-433-9720
,82,,㈜대한,전남 보성군 보성읍 인사길 30,061-852-1111
,83,,㈜농부하우스,울산광역시 북구 산업로 1462(신천동),052-282-0088
,84,,삼백온실㈜,경상북도 상주시 냉림로 62(냉림동),054-532-2959
