,지역,상호,소재지,연락처
,,㈜혁신건설농공,진주시 집현면 남강로 2029. 1층,055-745-9654
,,㈜삼우공영,김해시 호계로 555번길 2-9(동산동),055-323-2345
,,대운건설(주),"진주시 하대로 121, 3층 (하대동)",055-746-6675
,전북,(주)티에스팜,김제시 백구면 영상3길 121,063-543-5704
,,(주)그린포닉스,"전주시 덕진구 온고을로 619, 1동 101호",063-291-5634
,,(주)서진비에스,전주시 덕진구 동부대로 1042 (송천동2가),063-714-3600
,,(주)아리건설,익산시 평동로 501. 1층,063-851-0610
,,(주)씨앤에스,김제시 백구면 학동로 70,063-543-7843
,,㈜선양,남원시 옥고개로 85(노암동),063-626-7562
,,㈜여명,익산시 망성면 부대미길 83,010-2493-5519
,,(주)농자재플러스,"익산시 번석길 321, (팔봉동)",063-858-9914
,,(유)제이엠하이텍,전주시 덕진구 신미산길 6 (전미동2가),063-254-6264
,,(유)현대온실산업,"익산시 고봉로 222, 2층 (영등동)",063-838-0553
,,(유)미래온실산업,김제시 하공로 31(하동),063-544-8873
,,㈜백두건설,"전주시 덕진구 만성로 60, 501호(만성동,리드타워)",063-253-7829
,,㈜광진그린텍,부안군 부안읍 오리정로 51,063-584-2083
,,㈜영화건설,장수군 장계면 장무로 418,063-352-7776
,전남,(주)동양기업,나주시 산포면 구등길 34-36,061-337-3376
,,(주)우람,나주시 남평읍 남평1로 50,061-331-1217
,,(주)보광건설,나주시 산포면 산포로 468-10,061-333-5845
,,에스지티건설(주),순천시 해룡면 춘순신단길로 80-38,061-724-8989
,,(주)보담,화순군 화순읍 은국길 84-27,062-531-6006
,,㈜신안개발,나주시 남평읍 세납로 1569,061-333-2630
,,㈜대한,보성군 보성읍 인사길 30,061-852-1111
,,㈜이안코리아,영광군 대마면 전기차2로 87,070-4667-4777
,제주,㈜애농,제주시 애월읍 하가로 220,064-799-8830
