,구분,기업명,대표자,설립년도,업종,업태,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,제조(도매),제조(소매),"수입(제조, 도매)",수입(소매),국내(도매),국내(소매),정보통신공사 전문,우편번호,도로명 주소,지번주소,상세 주소,대표번호,FAX번호,E-MAIL,홈페이지,ICT 제품,일번 제품,총 원,관리직,연구기술직,영업직,AS가능인원
10,"시설원예, 축산",미래씨엔씨,박민수,19981001,"소프트웨어 개발 및 공급업, 원예축산 자동콘트롤러, 가전제품, 임신진단 발정장치, 컴퓨터, 원예축산 자동콘트롤러, 전기재료, 축산기자재, CCTV","정보통신업,제조업,건설업,도매 및 소매업,서비스업",O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,62377,광주광역시 광산구 금봉로44번길 53-2,광주광역시 광산구 소촌동 18-8,,0622612330,0625287993,alalgjs@naver.com,https://blog.naver.com/alalgjs,"회전형CCTV , 고정형CCTV , ANPR카메라 , NVR , 복합환경제어장치 , 발정탐지기","축사용 환풍기 , 윈치커튼 , TMR배합기 , 자동사료급이장치 , 차량소독기 , 차량차단기 , 스탄치온(자동목걸이) , 윈치커튼",2,1,1,0,2
11,시설원예,주식회사 비에이팜,신양우,20220415,농업,작물재배업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58323,전라남도 나주시 도민길 39-15,전라남도 나주시 빛가람동 891-3 금원전기솔라텍(주),"202호, (주)비에이팜",0613315755,0613325756,bafarmnj@daum.net,,"양액공급시스템, 환경제어시스템, 스마트팜 기자재",,2,2,0,0,2
12,시설원예,(주)진원기업,김희열,19941028,"금속구조물,창호공사,온실설치자재","건설업,도소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,57244,전라남도 장성군 진원면 노사로 469-21,전라남도 장성군 진원면 선적리 438-3,,0629569946,0629569949,ghjinwon@hanmail.net,,"환경복합제어기,안개분무기, 양액기",,3,1,1,1,2
13,"시설원예, 축산",주식회사 인테크,이상국,20020611,통신공사,건설,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,12918,경기도 하남시 미사강변서로 25,경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터, f812호,024170667,024180667,sklee6800@naver.com,,정보통신공사 전문,,31,18,3,10,3
14,"시설원예, 축산",디지털파워넷(주),소병수,20000401,자동제어기기,제조,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,05854,서울특별시 송파구 법원로 114,서울특별시 송파구 문정동 643-1 엠스테이트,엠스테이트B동 1208호,028538500,028535800,dpn@dpn.co.kr,www.dpn.co.kr,전기안전 원격점검장치,도로조명 전기안전 양방향 원격점검기,5,2,2,1,2
15,시설원예,넥스팜,박민호,20230302,"온실공사, 원예자재, 서비스","서비스업, 건설업, 도소매업",O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,12995,경기도 하남시 신우실로 100,경기도 하남시 감이동 474-1 현대 테라타워 감일,현대 테라타워 536호,0260532040,024363144,nexfarm2023@naver.com,,"환경제어기, 양액기",,3,1,1,1,2
16,"시설원예, 축산",(주)라인인포,서암석,20080214,정보통신공사업,건설업/제조업/도소매/서비스,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,54938,전라북도 전주시 덕진구 전주천동로 422,전라북도 전주시 덕진구 진북동 1156-4,(주)라인인포,0632537733,0632779933,line@lineinfo.com,www.lineinfo.com,정보통신공사 전문,ICT원격제어/CCTV/출입통제/주차관리/보안장비/음향장비,7,1,4,2,3
17,시설원예,(주)에코팜,강병욱,20130212,농업용차광제,제조업,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,54972,전라북도 전주시 완산구 메너머3길 19,전라북도 전주시 완산구 중화산동2가 693-2,1층,0632258274,0632278274,kb1600@naver.com,http://www.e-ecofarm.kr/,"온실용모터, 유황훈증기, 유동휀, co2발생기",,3,1,1,1,2
18,시설원예,(주)청운산업,김보영,20190301,"금속창호,지붕건축물조립공사업",건설업 도소매,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58228,전라남도 나주시 남평읍 세남로 1562,전라남도 나주시 남평읍 교원리 384-1,.,0613332630,0613332631,shinan4216@daum.net,,"온실자동화기기, 유리온실과 하우스 시공자재, 온실 전물설계시공",,3,2,0,1,2
19,"시설원예, 축산",한국그린테크,장정훈,20220627,농업용 기계 및 자동화 설비 /미생물 설비 배양기,"도,소매/제조",O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,32710,충청남도 금산군 추부면 군북로 1295,충청남도 금산군 추부면 서대리 498,2동,0417519131,0417519131,tsboiler@hanmail.net,한국그린테크.hrsite.kr, 농축산용 무인 방역 안개분무시스템,친환경 미생물 자가 배양기,1,0,0,1,1
20,시설원예,주식회사세화넥스텍,전상희,20200326,"정보통신공사업, 소프트웨어개발및공급업","건설업, 제조 도소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,34344,대전광역시 대덕구 상서당2길 2,대전광역시 대덕구 상서동 400,2층 202호,0429356393,0429356394,sehwa6390@gmail.com,대전광역시 대덕구 상서당2길 2(상서동),정보통신공사 전문,,4,1,1,2,2
21,시설원예,(주)신안개발,김의정,20010317,"금속창호,지붕건축물조립공사업",건설업 도소매,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58228,전라남도 나주시 남평읍 세남로 1569,전라남도 나주시 남평읍 교원리 796 (주)신안개발,.,0613332630,0613332631,shinan4216@daum.net,www.shinan4216.co.kr,"온실자동화기기, 유리온실과 하우스 시공자재, 온실 전문설계시공",,5,5,0,0,3
22,"시설원예, 축산",주식회사 민들레,임철원,20230717,"농,축산 ICT 기계 장비 제조업",제조업,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,13120,경기도 성남시 수정구 성남대로 1342,경기도 성남시 수정구 복정동 620-2 가천대학교,반도체대학 비206호,07089836569,05043325560,minfarm.ceo@gmail.com,http://www.minfarm.pro/,"복합환경제어기, 발정탐지기",,3,1,1,1,3
23,시설원예,풍양 농자재,이경준,20190301,"철구조물,비닐하우스 시공, 농자재","도/소매업, 건설업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,28720,충청북도 청주시 상당구 산성로 55,충청북도 청주시 상당구 탑동 344 탑클래스아파트,106-1303,01054698629,05040758629,ohyusason@naver.com,,팜시스 외,,2,1,0,1,2
24,시설원예,(주)에코건설,김수정,20160708,건설업,건설업,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,54347,전라북도 김제시 금산면 원평로 144-27,전라북도 김제시 금산면 성계리 438-56,,0632258274,0632278274,kb1600@naver.com,http://www.e-ecofarm.kr/,"제어반,스마트모바일기기설치",,4,3,0,1,2
25,"시설원예, 축산",(주)에이케이이엔지,이성희,20190305,"금속,창호공사업 외","건설업,도소매",O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,13506,경기도 성남시 분당구 성남대로926번길 10,경기도 성남시 분당구 야탑동 361-4,"5층 5122호 (야탑동, 탑빌딩)",07087700808,07079665688,ak-999@naver.com,,"금속구조물, 창호, 온실공사",,2,0,2,0,2
26,"시설원예, 축산",MEGA SUN코리아,김상신,20001115,제조업,축산기자재,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X,17505,경기도 안성시 고삼면 무수개울말길 56,경기도 안성시 고삼면 가유리 644-4,메가썬코리아,0316778052,0316778054,sy3237@naver.com,www.megasun.co.kr,콘트롤,"열풍기, 환풍기 ,농업용난방보일러, 전기온수기, 전기스토브, 콘트롤",10,6,1,3,3
27,"시설원예, 축산",엠제이글로벌(주),정광희,20101223,"농업용기계,발전기류,전기기계,일반기계",제조업,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,15110,경기도 시흥시 마유로144번길 15,경기도 시흥시 정왕동 1270-8 엠제이글로벌(주) 108호,"(정왕동, 시화공단 3라)",0315090058,0314825849,libin@mjglobal.co.kr,powernara.co.kr,"송풍팬,발전기,고압세척기,동력분무기","송풍팬,발전기,고압세척기,동력분무기,엔진,모터,펌프,양수기,조명타워,제설기,도로컷팅기",14,1,10,3,5
28,시설원예,주식회사 에스이알,장종휘,20230118,배전반및전기자동제어반제조,제조업,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,61012,광주광역시 북구 첨단과기로208번길 50,광주광역시 북구 오룡동 1110-10 조선대 생산형창업보육센터,산학관 105호,0629739676,0629739677,ser9676@daum.net,serdev.co.kr,"온도,습도 센서노드, 일사,풍향,풍속,감우 센서노드","스마트 가든 제어장치 및 운영시스템, 건축물에너지관리시스템",5,2,2,1,4
29,시설원예,주식회사동부철강,김재호,20170102,"농자재,철물,창호공사","도소매,건설업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,57347,전라남도 담양군 담양읍 죽향대로 1202,전라남도 담양군 담양읍 백동리 247-35,주식회사동부철강,0613832298,0613832297,landmark1234@naver.com,,"양액기, 냉난방 제어판넬",,5,2,1,2,3
30,"시설원예, 축산",유한회사 금종,김종천,20130502,금속구조물창호공사,건설업,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,55715,전라북도 남원시 인월면 황산로 1830,전라북도 남원시 인월면 서무리 670,유한회사 금종,0636365172,0636365481,k6365172@naver.com,,환풍기 및 환경제어장치,,7,3,2,2,3
31,시설원예,동양창호산업(주),이대상,20080627,"창호공사, 건축자재, 제조, PVC창호제작 및 판매","건설업, 제조업, 도소매",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,15590,경기도 안산시 상록구 분대길 6,경기도 안산시 상록구 사동 1361-9,2층,0314195333,0314087387,dy4195333@nate.com,,PVC창호,,4,1,2,1,2
32,시설원예,(주)와이케이이엔씨,김경현,20140619,"창호공사,PVC창호,금속판제품,금속공작물","건설업,제조업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,12748,경기도 광주시 경충대로 1912,경기도 광주시 장지동 554-6,(주)와이케이이엔씨,0317216261,0317216261,ykenc2000@daum.net,,금속구조물.창호공사,,3,2,0,1,3
33,시설원예,(주)신라이앤씨,김용호,20080611,"통신공사, 전기공사, 소프트웨어개발","건설업, 제조업, 서비스",O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,41474,대구광역시 북구 호국로57길 38,대구광역시 북구 서변동 860-8,2층,0532433117,0539396997,sillaboss@sillaenc.co.kr,sillaenc.co.kr,복합환경제어기,통신 설비 설계 및 구축,16,10,4,2,2
34,시설원예,(주)우리집열린마당,권칠문,19990115,금속구조물 창호공사업 외,건설업 외,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,10477,경기도 고양시 덕양구 백양로 157,경기도 고양시 덕양구 화정동 885-11,1층,0319682121,0319682124,woori2123@hotmail.com,https://www.openinterior.co.kr,금속창호지붕건축물조립공사업,,7,3,2,2,2
35,시설원예,주식회사 파모스,이세용,20211001,응용 소프트웨어 개발 및 공급업/농업 및 임업용 기계 제조업/전기용 기계ㆍ장비 및 관련 기자재 도매업,정보통신업/제조업/도배 및 소매업,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,14067,경기도 안양시 동안구 시민대로248번길 25,경기도 안양시 동안구 관양동 1591-9 경기창조산업안양센터,503호,0313604152,0313604152,mail@farmos.co.kr,,복합환경제어기,,10,3,6,1,2
36,시설원예,주식회사산들정보통신,김현주,20000228,통신기기,제조업업,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,38623,경상북도 경산시 경안로39길 31,경상북도 경산시 중방동 859-4,2층 산들정보통신,0533261640,0533261642,lhh1272@sdinfo.co.kr,,스마트팜,,12,4,7,1,3
37,"시설원예, 축산",한국축산데이터 주식회사 농업회사법인,경노겸,20171120,"축산 관련 서비스업, 가축사육업, 동물용 사료 및 조제식품 제조업, 산업용 농축산물 및 산동물 중개업, 기타 산업용 기계 및 장비 도매업, 전자상거래 소매업","농업, 임업 및 어업, 제조업, 도매 및 소매업, 숙박 및 음식점업",O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,34138,대전광역시 유성구 대학로 157,대전광역시 유성구 궁동 424-5,201호,0269561120,0269561121,tig@aidkr.com,http://www.aidkr.com/,"팜스플랜 라이브(인공지능 모니터링 솔루션), 팜스플랜 뷰(농장/가축 모니터링 솔루션), 팜스플랜 에코(축사 환경관리 솔루션)","팜스플랜 케어(수의 정기검진 서비스), 팜스플랜 매니저(농장 전산관리 프로그램), 팜스플랜 미트(팜스플랜 인증 축산물)",100,62,16,22,5
38,시설원예,주식회사 하늘시스템,김예랑,20220427,제조업건설업도매및소매,자동화설비온실공사하우스부속자재,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,10252,경기도 고양시 일산동구 고봉로770번길 71-35,경기도 고양시 일산동구 설문동 710,(주)하늘시스템,0319494258,0319444258,minto1@naver.com,,정보통신공사 전문,,9,3,4,2,2
39,"시설원예, 축산",주식회사 라곤이엔씨,김보라,20220224,건설업,정보통신공사,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,55768,전라북도 남원시 금하정1길 7-5,전라북도 남원시 금동 422-7 원협휴게실,1층,0636347705,0636347706,ragonenc@,,정보통신공사 전문,,3,1,1,1,2
40,시설원예,(주)대광개발,"김영칠,김연숙",19980716,창호.철물공사.옥외광고,건설.제조업.서비스,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,18522,경기도 화성시 정남면 문학로30번길 48,경기도 화성시 정남면 문학리 298,,0313521059,0313527059,dky8821@naver.com,,0,,3,1,1,1,2
41,"시설원예, 축산",(주)송명정보통신,공승국,20100401,정보통신,건설업,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,63186,제주특별자치도 제주시 서사로21길 9-1,제주특별자치도 제주시 삼도일동 573-9,2층,0647570320,0647570327,songmyeng75557@hanmail.net,,정보통신공사 전문,일반 기자재,4,4,0,0,2
42,"시설원예, 축산",(주)디브이알씨앤씨,이병묵,20030805,"CCTV,방송장비",제조업,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,21315,인천광역시 부평구 부평대로 301,인천광역시 부평구 청천동 440-4 남광센트렉스,720호,0323633785,0323633786,webmaster@dvrsystem.co.kr,dvrsystem.co.kr,"정보통신공사전문,진술녹화장비",,5,1,3,1,6
43,"시설원예, 축산",진화전기(주),문충모,19740810,통신공사/전기공사/소방공,건설업,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,07270,서울특별시 영등포구 양산로 43,서울특별시 영등포구 양평동3가 16 양평동우림 이 비지센타,1107호,0221649003,0221648866,jinwha_hw@naver.com,,정보통신공사 전,설계 시공 납품,16,2,12,2,4
44,시설원예,(주)동원전력개발,정광섭,19960819,"금속구조물, 창호공사업",건설업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,18324,경기도 화성시 세자로441번길 28,경기도 화성시 안녕동 180-81,,0312230901,0312380984,dongwon778899@hanmail.net,,"금속구조물,창호,온실공사업",,22,4,14,4,4
45,시설원예,주식회사국제그린빌드,조선영,20140911,"농업시설,철강재설치공사,조경식재공사,온실시공업, 비료 외","도소매업,건설업,제조업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,32282,충청남도 홍성군 홍성읍 충절로 773,충청남도 홍성군 홍성읍 구룡리 179-2,,0416316241,0416318253,netafim12@naver.com,,"우성하이텍 팜시스,웰시스,배양액자동공급기,경농복합환경제어시스템, 경농 악취저감시스템 에어포거, 네타핌 네타믹서 외","자동개폐기, 비닐하우스파이프(시설자재)일체, 하우스 관수자재 일체, 환풍기, 각종철물, 친환경자재, 비료 외",7,3,1,3,2
46,"시설원예, 축산",농업회사법인 주식회사 정원에프앤디,천용삼,20150817,"농업기계/기타장비설비,축산기자재","도소매,서비스",O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,50834,경상남도 김해시 인제로 197,경상남도 김해시 어방동 607 인제대학교,"415-1호(어방동,인제대학교 창조관)",05054504545,05040470470,pkpf1003@yahoo.co.kr,www.jungwonfnd.com,"축사 악취저감기, 원예시설 온습도제어기",관련된 각종 소모품,2,0,1,1,2
47,"시설원예, 축산",주식회사 아이티엔,안혜경,20220420,전문건설하도급,건설업,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,28596,충청북도 청주시 흥덕구 가로수로 1366,충청북도 청주시 흥덕구 복대동 130-2 진용빌딩,진용빌딩 2층,0439029143,0432210307,ry.kim@infitech.co.kr,,정보통신공사 전문,,5,2,0,3,3
48,"시설원예, 축산",에스디하이테크주식회사,김봉진,20200301,스마트팜관련장비업,제조업,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,36619,경상북도 안동시 풍산읍 괴정2길 106-17,경상북도 안동시 풍산읍 괴정리 673-7,404동 에스디하이테크,07073276731,07073276736,sdhitech23@naver.com,,"노지스마트팜, 시설스마트팜, 환경제어시스템, 양액제어시스템","농업용수처리기(전자식활성수기), 상온'저온겸용제습기, 히트펌프",9,4,3,2,3
49,시설원예,주식회사 동부농산업,정우철,20190201,도매 및 소매업,건설업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,63601,제주특별자치도 서귀포시 효돈순환로 163,제주특별자치도 서귀포시 하효동 399-9,,0647637531,0647637530,voice0707@daum.net,,"환경제어기, 양액기",,6,3,0,3,2
50,시설원예,(주)두리엔지니어링,안하근,20100126,"금속구조물창호공사,온실자재","건설업,도소매업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,10053,경기도 김포시 금포로 1565,경기도 김포시 운양동 1245-90,,0325496007,0325495113,nwson111@naver.com,Doorieng.com,"양액공급기,환경관리제어시스템",시설원예환경관리제어시스템,10,7,2,1,3
51,시설원예,(주)글로벌코딩연구소,이창훈,20160524,"작물재배 지원 서비스업, 축산 관련 서비스업, 물리, 화학 및 생물학 연구개발업, 농학 연구개발업, 의학 및 약학 연구개발업, 기타 자연과학","농업, 임업 및 어업, 전문, 과학, 기술 및 연구개발서비스업",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,51734,경상남도 창원시 마산합포구 3·15대로 298,경상남도 창원시 마산합포구 서성동 83-9 경남대학교 창업보육관,208호,0552441007,03033130787,hoo7987@hanmail.net,,1. 스마트팜 복합환경 제어 솔루션 2. 맞춤형 스마트팜 통합환경 PCB  3. 사전예약제 실시간 거래 솔루션,,17,5,12,0,4
52,시설원예,삼성철강,정재형,20010228,온실설치공사,건설업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,50968,경상남도 김해시 주촌면 서부로1638번길 90-24,경상남도 김해시 주촌면 천곡리 1010,삼성철강,0553233520,0553111871,st.ltd3520@gmail.com,,우성하이텍 FSC-1520,,5,2,1,2,2
53,시설원예,주식회사영진전기,원정길,20010612,건설업 외,"전기,정보통신공사 외",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,13024,경기도 하남시 검단산로 17,경기도 하남시 하산곡동 204-4,(주)영진전기,0317947701,05053140070,7947701@daum.net,,정보통신공사 전문,,18,5,0,13,3
54,"시설원예, 축산",주식회사 태원시스템,김대석,20140820,"기계설비건설공사 및 정보통신 공사업, 계장제어 빌딩자동제어 제조업, 가전제품 냉난방기 도소매, 전자상거래업, 소프트웨어 개발 및 공급업, 냉난방기 종합수리 및 세척업","건설업, 제조업, 도소매, 도매 및 소매업, 정보통신업, 협회 및 단체  수리 및 기타, 개인서비스업",O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,35250,대전광역시 서구 둔산남로 209,대전광역시 서구 둔산동 2147,1층 태원시스템,0424898751,0423880594,taewon@lgeb2b.co.kr,,"자동제어시스템, 자동제어 제어반 제작, 냉난방기, 냉동기, 보일러, 공조기",냉난방기,24,4,1,19,5
55,"시설원예, 축산",에어존 주식회사,설용선,20220603,"냉동,공조설비,산업기계","제조업,서비스업",O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,12017,경기도 남양주시 진접읍 팔야로124번길 14,경기도 남양주시 진접읍 팔야리 322-1,2동 2층,0315271876,0315271879,yongsun0815@hanmail.net,www.eairzone.com,냉방기,제습 및 공조 설비,2,1,0,1,2
56,"시설원예, 축산",에코비엠주식회사,김영순,20180410,정보통신공사업/친환경농업기계제조업/기초무기화학제조업,건설업/제조업/도소매업,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,58034,전라남도 순천시 해룡면 율촌산단1로 50,전라남도 순천시 해룡면 선월리 913-3,210-2호,0617240885,0617240886,ecobm12@nate.com,http://www.ecobm.kr,"정보통신공사, 스마트팜(ESF900), 전해살균수제조장비"," 세탁보조제, 섬유유연제, 탈취제, 전해살균수, 세탁세제, 알카리수제조장비",10,2,7,1,5
57,"시설원예, 축산",주식회사 케이에스시스템,조형준,20180701,정보통신공사업외,"건설업, 제조외",O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,63248,제주특별자치도 제주시 인다13길 55,제주특별자치도 제주시 아라일동 6125-10,2층,0647257769,0647027795,withcomm@doumenc.co.kr,,정보통신공사 전문,,5,1,3,1,4
58,시설원예,(주)보광건설,이근철,20040615,"금속창호,지붕건축물조립공사업","건설,도 소매",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,58214,전라남도 나주시 산포면 산포로 468-10,전라남도 나주시 산포면 매성리 1265-7 송현건설(주)금성기업,(주)보광건설,0613335845,0613335845,kws1055@hanmail.net,,"금속창호,지붕건축물조립공사,자동화온실공사업",,9,9,0,0,5
59,시설원예,대광스틸(주),권은희,20160204,"금속창호구조물공사, 농사용파이프 강관 도소매",건설업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,38031,경상북도 경주시 안강읍 안현로 862-13,경상북도 경주시 안강읍 사방리 1128-4,대광스틸(주),0547458550,0547418551,dk150102@naver.com,,환경관리 시스템 ,,9,4,2,3,3
60,시설원예,(주)그린플러스,"박영환, 정순태",19971025,"온실용자재제조, 알류미늄제품, 조립식구조물, 태양광발전장치류, 금속구조물창호공사업, 강구조물공사업, 전기공사업","제조, 제조업, 건설, 건설업",O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,32446,충청남도 예산군 응봉면 응봉로 50-42,충청남도 예산군 응봉면 지석리 522,(주)그린플러스,,0413326429,gpgp@greenplus.co.kr,https://www.greenplus.co.kr,"온실복합환경제어시스템(마그마, 마그마플러스), 양액기, 외부온습도센서, 풍향센서, 풍속센서, 일사센서, 감우센서, 내부온습도센서, CO2센서",,124,53,64,7,10
