,기업명,구성품,장비 모델명,장치명,모델명,사양,수량,제조사,제조국,표준 가격(원)
34,(주)귿큰,센 서 류 1,ICTINTERCOP(V1),온도센서,고정밀온도센서,측정범위 : -20~60℃,1,AOSONG,한국,"5,900원"
35,(주)귿큰,센 서 류 2,ICTINTERCOP(V1),습도센서,고정밀온도,측정범위 : -20~60℃,1,AOSONG,한국,"5,900원"
36,(주)귿큰,구 동 기 1,ICTINTERCOP(V1),구동제어,전자식릴레이,HR710-2p DC24,18,KACON,한국,"3,500원"
37,(주)귿큰,통 신 장 치 1,ICTINTERCOP(V1),이더넷,원격통신포트,RJ45-EZ_L,1,LS전선,한국,"16,500원"
38,(주)귿큰,통 신 장 치 2,ICTINTERCOP(V1),융복합환경제어장치,ICTINTERCOP(V1),"온도,습도,풍향",1,귿큰,한국,"15,000,000원"
39,(주)귿큰,S / W 1,ICTINTERCOP(V1),원격제어및모니터링,ICTINTERCOP(V1),"C,JAVA",1,귿큰,한국,0원
40,케이앤디글로벌,센 서 류 1,i-1100,온습도센서,i-1100T,-20~100℃,1,(주)케이앤디글로벌,국산,원
41,케이앤디글로벌,센 서 류 2,i-1100,"암모니아, tVOC센서",i-1100G,5~95%,1,(주)케이앤디글로벌,국산,원
42,케이앤디글로벌,센 서 류 3,i-1100,전류감지센서,i-1100C,Current Ratio 100A/max120A,1,(주)케이앤디글로벌,국산,원
43,케이앤디글로벌,구 동 기 1,i-1100,ICT 복합환경제어시스템,i-1100,제어기능,1,(주)케이앤디글로벌,국산,원
44,케이앤디글로벌,S / W 1,i-1100,모니터링 시스템,i-1100SW,웹 서버,1,(주) 케이앤디글로벌,국산,"33,000,000원"
45,(주)나래트랜드,센 서 류 1,반딧불이-스마트팜원격제어시스템,온도센서,NTC-10K,"10KΩ, 온도: -25~65℃",1,센서랜드,대한민국,"20,000원"
46,(주)나래트랜드,센 서 류 2,반딧불이-스마트팜원격제어시스템,습도센서,NR-AG-S06,0~100%RH,1,(주)나래트랜드,대한민국,"80,000원"
47,(주)나래트랜드,구 동 기 1,반딧불이-스마트팜원격제어시스템,통합제어기,스마트팜 원격제어시스템,"IN/OUT Port, Relay Board, 통신네트워크,원격관제,알람",1,(주)나래트랜드,대한민국,"2,600,000원"
48,(주)나래트랜드,통 신 장 치 1,반딧불이-스마트팜원격제어시스템,센서노드,ES-06,"RS485, 4~20mA, 전압형 센서적용",1,(주)나래트랜드,대한민국,"250,000원"
49,(주)나래트랜드,S / W 1,반딧불이-스마트팜원격제어시스템,팜노트,팜노트,Web,1,(주)나래트랜드,대한민국,"2,000,000원"
50,(주)나래트랜드,S / W 2,반딧불이-스마트팜원격제어시스템,어플리케이,반딧불이,스마트폰,1,(주)나래트랜드,대한민국,"500,000원"
51,(주)나래트랜드,센 서 류 1,반딧불이-복합환경제어시스템,온도센서,NTC-10K,"10KΩ, 온도: -25~65℃",1,센서랜드,대한민국,"20,000원"
52,(주)나래트랜드,센 서 류 2,반딧불이-복합환경제어시스템,습도센서,NR-AG-S06,0~100%RH,1,(주)나래트랜드,대한민국,"80,000원"
53,(주)나래트랜드,구 동 기 1,반딧불이-복합환경제어시스템,통합제어기,복합환경제어시스템,"제어판넬,터치모니터,통신보드,자동제어알고리즘탑재Relay Board, 통신네트워크",1,(주)나래트랜드,대한민국,"7,500,000원"
54,(주)나래트랜드,통 신 장 치 1,반딧불이-복합환경제어시스템,센서노드,ES-06,"RS485, 4~20mA, 전압형 센서적용",1,(주)나래트랜드,대한민국,"250,000원"
55,(주)나래트랜드,S / W 1,반딧불이-복합환경제어시스템,팜노트,팜노트,Web,1,(주)나래트랜드,대한민국,"2,000,000원"
56,(주)나래트랜드,S / W 2,반딧불이-복합환경제어시스템,어플리케이,반딧불이,스마트폰,1,(주)나래트랜드,대한민국,"500,000원"
57,농업회사법인 주식회사 그린첨단과학온실,센 서 류 1,GODS-5000,우적센서,DRC-300,DC24V(전기식 강우인식),1,태성기전,한국,"85,000원"
58,농업회사법인 주식회사 그린첨단과학온실,센 서 류 2,GODS-5000,온습도센서,FG-6485,"DC24V(RS485통신, 온습도측정)",,광주치앙마이전자,중국,"50,000원"
59,농업회사법인 주식회사 그린첨단과학온실,통 신 장 치 1,GODS-5000,통합판넬(돌쇠 아두이노 2.0),GODS-5000,복합환경제어기 (우적/온습도 data),1,그린첨단,한국,"500,000원"
60,주식회사 큐빅스,센 서 류 1,QSM,온습도 측정기,QWTH,"온도,습도 측정",1,(주)큐빅스,대한민국,"350,000원"
61,주식회사 큐빅스,S / W 1,QSM,클라우드서비스,,"센서데이터조회(센서기기당 월1만원,연간과금)",1,(주)큐빅스,대한민국,"120,000원"
62,케이앤디글로벌,센 서 류 1,i-1100,온습도센서,i-1100T,-20~100℃,1,(주)케이앤디글로벌,국산,원
63,케이앤디글로벌,센 서 류 2,i-1100,"암모니아, tVOC센서",i-1100G,5~95%,1,(주)케이앤디글로벌,국산,원
64,케이앤디글로벌,센 서 류 3,i-1100,전류감지센서,i-1100C,Current Ratio 100A/max120A,1,(주)케이앤디글로벌,국산,원
65,케이앤디글로벌,구 동 기 1,i-1100,ICT 복합환경제어시스템,i-1100,제어기능,1,(주)케이앤디글로벌,국산,"30,000,000원"
66,케이앤디글로벌,S / W 1,i-1100,모니터링 시스템,i-1100SW,웹 서버,1,(주) 케이앤디글로벌,국산,원
67,주식회사 대단,센 서 류 1,TCZ41,IOT온도제어기,TCZ41,"-20~70℃,무선 Zigbee",1,대단,대한민국,"450,000원"
68,주식회사 대단,센 서 류 2,TCZ41,CO2모니터링센서,CON20,"0~5,000ppm",1,대단,대한민국,"600,000원"
69,주식회사 대단,센 서 류 3,TCZ41,CO2모니터링센서,CON41,"0~5,000ppm, 무선 Zigbee",1,대단,대한민국,"600,000원"
70,주식회사 대단,통 신 장 치 1,TCZ41,유선게이트웨이,GWM20,RS-485 RTU,1,대단,대한민국,"550,000원"
71,주식회사 대단,통 신 장 치 2,TCZ41,무선게이트웨이,GWM40,무선 Zigbee,1,대단,대한민국,"550,000원"
72,주식회사 대단,통 신 장 치 3,TCZ41,무선중계기,RFS40,무선 Zigbee,1,대단,대한민국,"350,000원"
73,주식회사 대단,S / W 1,TCZ41,운영프로그램,X3 웹스카다,,1,대단,대한민국,"7,000,000원"
74,(주)팜패스,센 서 류 1,팜내비,온습도센서,SM1910B,-30~80,5,sonbest,중국,"50,000원"
75,(주)팜패스,구 동 기 1,팜내비,환경관리기,팜내비,"온습도, CO2, 풍향 , 풍속, 강우 등",1,팜패스,대한민국,"10,000,000원"
76,(주)팜패스,S / W 1,팜내비,환경모니터링시스템,팜내비,원격 환경 제어,1,팜패스,대한민국,"5,000,000원"
77,(주)규원테크,센 서 류 1,Biomass-Boiler(2Mth),복합환경센서,i-1000T/G/C,"NH3, T/H, tVOC, 전류감지센서",1,(주) 케이앤디글로벌,대한민국,원
78,(주)규원테크,구 동 기 1,Biomass-Boiler(2Mth),피딩 모터,MAX GEARED MOTOR F172,1.5KW-4P-3상,1,SSAMYANG,대한민국,원
79,(주)규원테크,구 동 기 2,Biomass-Boiler(2Mth),수평연료 모터,MAX GEARED MOTOR F153,0.75KW-4P-3상,1,SAMYANG,대한민국,원
80,(주)규원테크,구 동 기 3,Biomass-Boiler(2Mth),호퍼,Biomass_Boiler_hopper,,1,(주)규원테크,대한민국,원
81,(주)규원테크,구 동 기 4,Biomass-Boiler(2Mth),연소로/보일러,Biomass-Boiler(2Mth),"1,720,000kcal/h",1,(주)규원테크,대한민국,"700,000,000원"
82,(주)규원테크,구 동 기 5,Biomass-Boiler(2Mth),백필터,Biomass_Boiler_Bag Filter,,,(주)규원테크,대한민국,원
83,(주)규원테크,구 동 기 6,Biomass-Boiler(2Mth),멀티싸이클론,Biomass_Boiler_Cyclone,,,(주)규원테크,대한민국,원
84,(주)규원테크,통 신 장 치 1,Biomass-Boiler(2Mth),ICT 복합환경제어시스템,i-1000,제어기능,1,(주) 케이앤디글로벌,대한민국,"50,000,000원"
85,그린씨에스(주),구 동 기 1,MAGMA1000V20,양액기,마그마V2.0,"믹싱형, 10ton",1,그린씨에스(주),대한민국,"17,000,000원"
86,그린씨에스(주),센 서 류 1,MAGMAPLUS-1000,온습도센서(온실용),,"범위 -20℃~+80℃,0~100%",2,그린씨에스(주),대한민국,"920,000원"
87,그린씨에스(주),센 서 류 2,MAGMAPLUS-1000,온도센서(외기용),,범위 -40℃~+60℃,1,그린씨에스(주),대한민국,"149,500원"
88,그린씨에스(주),센 서 류 3,MAGMAPLUS-1000,CO2센서,,0-3000ppm,1,그린씨에스(주),대한민국,"1,035,000원"
89,그린씨에스(주),센 서 류 4,MAGMAPLUS-1000,풍향풍속센서,,"0~359°,0~60m/s",1,그린씨에스(주),대한민국,"805,000원"
90,그린씨에스(주),센 서 류 5,MAGMAPLUS-1000,감우센서,,DC 24V Relay Type,1,그린씨에스(주),대한민국,"345,000원"
91,그린씨에스(주),센 서 류 6,MAGMAPLUS-1000,일사량센서,,범위  0~2000W/㎡,1,그린씨에스(주),대한민국,"920,000원"
92,그린씨에스(주),통 신 장 치 1,MAGMAPLUS-1000,복합환경제어기,MAGMAPLUS-1000,데이터로거&AD컨버터,1,그린씨에스(주),대한민국,"9,200,000원"
93,그린씨에스(주),통 신 장 치 2,MAGMAPLUS-1000,운용PC,,I3쿼드코어,1,삼성전자,대한민국,"897,000원"
94,그린씨에스(주),통 신 장 치 3,MAGMAPLUS-1000,모니터,,LED 24인치,1,삼성전자,대한민국,"322,000원"
95,그린씨에스(주),S / W 1,MAGMAPLUS-1000,PC용온실운용프로그램,MAGMAPLUS,PC전용,1,그린씨에스(주),대한민국,"9,315,000원"
96,그린씨에스(주),S / W 2,MAGMAPLUS-1000,모바일전용온실운용프로그램,MAGMAPLUS,모바일전용,1,그린씨에스(주),대한민국,"1,035,000원"
97,(주)우성하이텍,센 서 류 1,FS-50,"Indoor Environment Sensor node(Temp,Humidity)",WSN-802,무선통신모듈(zigbee),1,(주)우성하이텍,대한민국,"260,000원"
98,(주)우성하이텍,센 서 류 2,FS-50,"Indoor Environment Sensor node(Temp,Humidity, CO2)",WSN-803,무선통신모듈(zigbee),1,(주)우성하이텍,대한민국,"455,000원"
99,(주)우성하이텍,센 서 류 3,FS-50,Weather Environment Sensor Node,WSN-800,무선통신모듈(zigbee),1,(주)우성하이텍,대한민국,"455,000원"
100,(주)우성하이텍,센 서 류 4,FS-50,유선온도센서,FTS-50,~19~60℃,1,(주)우성하이텍,대한민국,"68,900원"
101,(주)우성하이텍,센 서 류 5,FS-50,Wind Sensor,WDSS-201,풍향 : 16방위 / 풍속 : 0~70㎧,1,(주)우성하이텍,대한민국,"325,000원"
102,(주)우성하이텍,센 서 류 6,FS-50,Solar Sensor,WSS-202,0 ~ 2000W/㎡,1,(주)우성하이텍,대한민국,"130,000원"
103,(주)우성하이텍,센 서 류 7,FS-50,Rain Sensor,WRS-203,강우유무,1,(주)우성하이텍,대한민국,"130,000원"
104,(주)우성하이텍,센 서 류 8,FS-50,Temp. Humidity Sensor,WTH-204,-19~60℃ / 0~99.9%,1,(주)우성하이텍,대한민국,"130,000원"
105,(주)우성하이텍,구 동 기 1,FS-50,팜시스 컨트롤러,FSC-1520,임베디드 컴퓨터,1,(주)우성하이텍,대한민국,"2,353,000원"
106,(주)우성하이텍,S / W 1,FS-50,e-farmer smart,FSS-16,시설원예 환경제어 소프트웨어,1,(주)우성하이텍,대한민국,"780,000원"
107,주식회사 디오비에스,통 신 장 치 1,RF-4528PL,스마트ICT원격농장 제어기,RF-4528PL,복합환경제어기,1,디오비에스,한국,"3,300,000원"
108,맘꽃가든,통 신 장 치 1,SLOWER-1,구동기 제어 통신 노드,SLOWER-1,"mcu,RS485 modbus, 8ch ssr control, 8ch md control",1,맘꽃가든,대한민국,"1,320,000원"
109,맘꽃가든,통 신 장 치 2,SLOWER-1,센서 측정 통신 노드,SLOWER-1,"mcu,RS485 modbus DigitalInput, AnalogInput",1,맘꽃가든,대한민국,"880,000원"
110,맘꽃가든,S / W 1,SLOWER-1,클라우드 웹서비스,SLOWER-1,"2vCPU, 16G Memory, 80GB SSD",1,맘꽃가든,대한민국,0원
111,맘꽃가든,S / W 2,SLOWER-1,모바일앱,SLOWER-1,"Flutter,FireBase, Android, iOS",1,맘꽃가든,대한민국,0원
112,주식회사 우주,센 서 류 1,SUN-V02,온습도계,WJ-TH0101,"-25~65°C,0~100%RH",1,우주,한국,"200,000원"
113,주식회사 우주,센 서 류 2,SUN-V02,CO2센서,SH-VT260,"0~5,000PPM",1,,한국,"550,000원"
114,주식회사 우주,센 서 류 3,SUN-V02,일사센서,WHS-S6,0 ~ 1500 W/㎡,1,우성,한국,"180,000원"
115,주식회사 우주,센 서 류 4,SUN-V02,토양센서,Hydra Probe,0.01 to 1.5 S/m,1,STEVENS,미국,"800,000원"
116,주식회사 우주,센 서 류 5,SUN-V02,레인센서,,"3면, 히팅기능",1,,한국,"200,000원"
117,주식회사 우주,센 서 류 6,SUN-V02,풍향풍속계,KR7911,,1,,미국,"400,000원"
118,주식회사 우주,구 동 기 1,SUN-V02,복합환경제어기,SUNNET-복합환경제어기,700*1200*250,1,우주,한국,"5,000,000원"
119,주식회사 우주,구 동 기 2,SUN-V02,개폐기제어반,SUNNET-제어반,1700*2000*500,1,우주,한국,"12,000,000원"
120,주식회사 우주,S / W 1,SUN-V02,어플리케이션,SUNNET,안드로이드,1,우주,한국,"1,500,000원"
121,(주)청오엔지니어링,센 서 류 1,COFF-3000,외부온습도센서,AM-2301,"-40 ~ +125 ℃,0~100%",1,AOSONG,중국,"198,000원"
122,(주)청오엔지니어링,센 서 류 2,COFF-3000,풍향센서,YGC-FX,0~360°,1,WUHAN XINPU,중국,"195,000원"
123,(주)청오엔지니어링,센 서 류 3,COFF-3000,풍속센서,YJ-FS,0~70M m/s,1,WUHAN XINPU,중국,"160,000원"
124,(주)청오엔지니어링,센 서 류 4,COFF-3000,강우센서,CORC-2016,"전압:DC24V  감도조절:L,M,H",1,청오엔지니어링,한국,"150,000원"
125,(주)청오엔지니어링,센 서 류 5,COFF-3000,일사센서,PYRA300V,0~1800W/m2,1,청오엔지니어링`,한국,"240,000원"
126,(주)청오엔지니어링,센 서 류 6,COFF-3000,내부온습도센서,NRC-10K,측정범위 : -20 ~ +125 ℃ 0~100%,1,청오엔지니어링,한국,"198,000원"
127,(주)청오엔지니어링,센 서 류 7,COFF-3000,CO2센서,MH-Z14A,0~10000ppm,1,WINSEN,중국,"130,000원"
128,(주)청오엔지니어링,센 서 류 8,COFF-3000,지온지습센서,SMTS-II-100,-30~70℃,1,DALIAN ENDEA,중국,"220,000원"
129,(주)청오엔지니어링,구 동 기 1,COFF-3000,통합판넬,COCB-CE10,개폐장치및구동장치제어,1,청오엔지니어링,한국,"1,800,000원"
130,(주)청오엔지니어링,구 동 기 2,COFF-3000,복합환경제어기기,제어모듈,RS485통신,1,케이티,한국,"360,000원"
131,(주)청오엔지니어링,구 동 기 3,COFF-3000,복합환경제어기,전원모듈,"입력:220V, 출력:5V, 1A",1,케이티,한국,"180,000원"
132,(주)청오엔지니어링,구 동 기 4,COFF-3000,복합환경제어기,구동모듈,DI/DO상태표시 전원:5V,1,케이티,한국,"186,000원"
133,(주)청오엔지니어링,통 신 장 치 1,COFF-3000,외부센서노드,COCB-OW,외부기상대보드+함체,1,청오엔지니어링,한국,"158,000원"
134,(주)청오엔지니어링,통 신 장 치 2,COFF-3000,내부센서노드,COCB-IW,내부기상대보드+함체,1,청오엔지니어링,한국,"158,000원"
135,(주)이화글로벌,구 동 기 1,CPV-Q2906KX,인버터냉난방기,CPV-Q2906KX,대형 고효율 인버터 탑재,1,캐리어,대한민국,"15,000,000원"
136,(주)이화글로벌,통 신 장 치 1,CPV-Q2906KX,통신 게이트웨이,ET0808,485 to 이더넷,1,이화글로벌,대한민국,"6,000,000원"
137,(주)이화글로벌,S / W 1,CPV-Q2906KX,제어/모니터링SW,E-FARM,"모바일, pc sw",1,이화글로벌,대한민국,"3,000,000원"
138,주식회사 팀스페이스팜,센 서 류 1,SS-22-B,복합환경제어기(연동),SS-22-B(스마트쑥쑥),"온도,습도,조도,CO2,기압,5백메가 카메라, TPU+SOC",1,주식회사 팀스페이스팜,대한민국,"1,680,000원"
139,주식회사 팀스페이스팜,S / W 1,SS-22-B,환경모니터링,SS-22-B(스마트쑥쑥),,1,주식회사 팀스페이스팜,대한민국,원
140,농부이야기,센 서 류 1,K1-SF,온도센서,FOX-2000TR,-55.5℃~99.9℃,1,(주)코노텍,한국,"110,000원"
141,농부이야기,센 서 류 2,K1-SF,온습도센서,FOX-9302R1,온도:-55.5℃~99.9℃온도:-55.5℃~99.9℃/습도:10.0%~95.0%,1,(주)코노텍,한국,"275,000원"
142,농부이야기,센 서 류 3,K1-SF,제이왓데이터수집장치(온습도센서),JWAT-T100,온도범위 : -55℃~99.9℃ (NCT10K) 습도범위 : 10~90%R.H.(HCPV-220H) 입력전원 : 12Vdc~24Vdc,1,농부이야기,한국,"275,000원"
143,농부이야기,통 신 장 치 1,K1-SF,제이왓스마트팜,K1-SF,"PVC재질400*500, 485통신,10포트",1,농부이야기,한국,"2,750,000원"
144,(주)경농,센 서 류 1,KN-SI-CI-001,외부기상대,WSC11,일사/온도/습도/풍향/풍속/감우,1,thiesclima,독일,"2,500,000원"
145,(주)경농,센 서 류 2,KN-SI-CI-001,온습도 상자,건습구,3K/NTC,1,경농,대한민국,"1,000,000원"
146,(주)경농,구 동 기 1,KN-SI-CI-001,시그닛복합환경제어기,KN-SI-CI-001,1구역,1,경농,대한민국,"10,000,000원"
147,(주)경농,S / W 1,KN-SI-CI-001,시그닛 복합환경제어 제어 프로그램,제어용,,1,경농,대한민국,"3,000,000원"
148,(주)경농,S / W 2,KN-SI-CI-001,시그닛 복합환경제어 UI 프로그램,유저용,,1,경농,대한민국,"1,500,000원"
149,케이디솔루션(주),센 서 류 1,KDS-700YFC,무선화재 감지기,FDT-451VSH,447mhz,1,(주)로제타텍,대한민국,"330,000원"
150,케이디솔루션(주),구 동 기 1,KDS-700YFC,화재 써지 제로 컷,KDS-700YFC,3상4선+G(PE) 380Vac/220Vac,1,케이디솔루션(주),대한민국,"2,500,000원"
151,케이디솔루션(주),통 신 장 치 1,KDS-700YFC,LTE Modem,ATM-M700,2.4GHz,1,(주)아프로텍,대한민국,"110,000원"
152,케이디솔루션(주),통 신 장 치 2,KDS-700YFC,무선화재 수신기,SPA-400SPD,447MHz/10mW,1,케이디솔루션(주),대한민국,"450,000원"
153,제트텍,구 동 기 1,ZFARM,통합제어기(디지털제어기),Raspberry Pi 4 Model B,특정소출력 무선기기,1,Raspberry Pi Foundation,영국,"1,000,000원"
154,제트텍,구 동 기 2,ZFARM,전자개폐기,GMC-20P2,2P 220V 20A,1,(주)에이엠스지디,한국,"50,000원"
155,제트텍,구 동 기 3,ZFARM,전자개폐기,MC-18b,440V 18A,1,(주)LS산전,한국,"50,000원"
156,제트텍,구 동 기 4,ZFARM,전자개폐기,MC-22b,440V 18A,1,(주)LS산전,한국,"50,000원"
157,제트텍,통 신 장 치 1,ZFARM,공유기,T5008,IP할당 및 포트포워딩,1,(주)이에프엠네트웍스,한국,"50,000원"
158,제트텍,S / W 1,ZFARM,ZFARM,ZFARM,원격 환경제어,1,제트텍,한국,"1,500,000원"
159,주식회사 수경팜스,센 서 류 1,SKDA-2000,우적센서,CNT-WJ24,DC24V,1,코노텍,한국,"85,000원"
160,주식회사 수경팜스,센 서 류 2,SKDA-2000,온도센서,FOX-7000TT,AC220V,1,코노텍,한국,"85,000원"
161,주식회사 수경팜스,센 서 류 3,SKDA-2000,온습도센서(RS485),FG6485,RS485통신,1,청변전자,중국,"39,550원"
162,주식회사 수경팜스,구 동 기 1,SKDA-2000,통합판넬,SKDA-2000,개폐장치및구동장치제어5~24,1,수경팜스,한국,"400,000원"
163,주식회사 수경팜스,통 신 장 치 1,SKDA-2000,돌쇠 아두이노 2.0,DA001,DC24V,1,수경팜스,한국,"528,000원"
164,주식회사 수경팜스,S / W 1,SKDA-2000,돌쇠 2.0,DS001,DC3.3V,1,수경팜스,한국,"420,000원"
165,케이디솔루션(주),구 동 기 1,KDS-050SF,낙뢰보호기,KDS-050SF,단상2선식,1,케이디솔루션(주),대한민국,"550,000원"
166,케이디솔루션(주),통 신 장 치 1,KDS-20TFD,낙뢰보호기,KDS-20TFD,2port / RS-485,1,케이디솔루션(주),대한민국,"385,000원"
167,케이디솔루션(주),구 동 기 1,KDS-100YF,낙뢰보호기,KDS-100YF,3상4선+PE,1,케이디솔루션(주),대한민국,"1,000,000원"
168,한국아이오티주식회사,통 신 장 치 1,HK-CONICT-10,ICT 통합제어시스템,HK-COWSENSW-1,분석및 제어 프로그램,1,한국아이오티주식회사,한국,"5,400,000원"
169,한국아이오티주식회사,통 신 장 치 2,HK-CONICT-10,원격제어 모듈,HK-CONICT-10,"LoRa통신, 4포트 입력, 4포트 출력, 485 통신,",1,한국아이오티,한국,"330,000원"
170,(주)한국더원,센 서 류 1,HD22,온도습도센서,NJ15,"통신 -20~50℃, 0~100%",2,농정사이버,국산,"300,000원"
171,(주)한국더원,센 서 류 2,HD22,외부온도센서,NJ15-1,"통신 -20~50℃, 0~100%",1,농정사이버,국산,"300,000원"
172,(주)한국더원,센 서 류 3,HD22,CO2센서,,트랜스미터,1,소하테크,국산,"530,000원"
173,(주)한국더원,센 서 류 4,HD22,일사센서,SYE-2007PM,"SYE-420M,4~20㎃,w/m",1,신영전자,국산,"450,000원"
174,(주)한국더원,센 서 류 5,HD22,"지온,지습,EC",WT1000B,통신,1,미래센서,국산,"600,000원"
175,(주)한국더원,센 서 류 6,HD22,강우센서,COT,릴레리,1,코노텍,국산,"120,000원"
176,(주)한국더원,센 서 류 7,HD22,"풍향,풍속센서",Anemomet-7911,통신,1,Davis,미국,"950,000원"
177,(주)한국더원,구 동 기 1,HD22,복합환경제어시스템,HD22,"청청,측창등 통합제어",1,한국더원,국산,"8,500,000원"
178,(주)한국더원,구 동 기 2,HD22,컨트롤라,LS,PLC  set,1,LS,국산,"2,200,000원"
179,(주)한국더원,통 신 장 치 1,HD22,통신컴버터,,"485컴버터,통신카드",1,시스템베이스,국산,"250,000원"
180,(주)한국더원,통 신 장 치 2,HD22,컴퓨터,삼성,"CPU3.0,4GB,128GB,1TB",1,삼성,국산,"1,800,000원"
181,(주)한국더원,S / W 1,HD22,원격제어,NJ2015,스마트폰및컴퓨터원격제,1,농정사이버,국산,"4,700,000원"
